time,SOI
1999.4583,0.3
1999.5417,0.5
1999.625,0.4
1999.7083,-0.1
1999.7917,1
1999.875,1
1999.9583,1.4
2000.0417,0.7
2000.125,1.7
2000.2083,1.3
2000.2917,1.2
2000.375,0.4
2000.4583,-0.2
2000.5417,-0.2
2000.625,0.7
2000.7083,0.9
2000.7917,1.1
2000.875,1.8
2000.9583,0.8
2001.0417,1
2001.125,1.7
2001.2083,0.9
2001.2917,0.2
2001.375,-0.5
2001.4583,0.3
2001.5417,-0.2
2001.625,-0.4
2001.7083,0.2
2001.7917,0
2001.875,0.7
2001.9583,-0.8
2002.0417,0.4
2002.125,1.1
2002.2083,-0.2
2002.2917,-0.1
2002.375,-0.8
2002.4583,-0.2
2002.5417,-0.5
2002.625,-1
2002.7083,-0.6
2002.7917,-0.4
2002.875,-0.5
2002.9583,-1.1
2003.0417,-0.2
2003.125,-0.7
2003.2083,-0.3
2003.2917,-0.1
2003.375,-0.3
2003.4583,-0.6
2003.5417,0.3
2003.625,0.1
2003.7083,-0.1
2003.7917,0
2003.875,-0.3
2003.9583,1.1
2004.0417,-1.3
2004.125,1.2
2004.2083,0.4
2004.2917,-0.9
2004.375,1
2004.4583,-0.8
2004.5417,-0.5
2004.625,-0.3
2004.7083,-0.3
2004.7917,-0.1
2004.875,-0.7
2004.9583,-0.8
2005.0417,0.3
2005.125,-3.1
2005.2083,0.3
2005.2917,-0.6
2005.375,-0.8
2005.4583,0.4
2005.5417,0.2
2005.625,-0.3
2005.7083,0.4
2005.7917,1.2
2005.875,-0.2
2005.9583,0
2006.0417,1.7
2006.125,0.1
2006.2083,1.8
2006.2917,1.1
2006.375,-0.5
2006.4583,-0.2
2006.5417,-0.6
2006.625,-1
2006.7083,-0.6
2006.7917,-1.3
2006.875,0.1
2006.9583,-0.3
2007.0417,-0.8
2007.125,-0.1
2007.2083,0.2
2007.2917,-0.1
2007.375,-0.1
2007.4583,0.5
2007.5417,-0.3
2007.625,0.4
2007.7083,0.2
2007.7917,0.7
2007.875,0.9
2007.9583,1.7
2008.0417,1.8
2008.125,2.6
2008.2083,1.4
2008.2917,0.7
2008.375,-0.1
2008.4583,0.6
2008.5417,0.3
2008.625,1
2008.7083,1.2
2008.7917,1.3
2008.875,1.3
2008.9583,1.4
2009.0417,1.1
2009.125,1.9
2009.2083,0.4
2009.2917,0.8
2009.375,-0.1
2009.4583,0.1
2009.5417,0.2
2009.625,-0.2
2009.7083,0.3
2009.7917,-1.2
2009.875,-0.6
2009.9583,-0.7
2010.0417,-1.1
2010.125,-1.5
2010.2083,-0.7
2010.2917,1.2
2010.375,0.9
2010.4583,0.4
2010.5417,1.8
2010.625,1.8
2010.7083,2.2
2010.7917,1.7
2010.875,1.3
2010.9583,2.9
2011.0417,2.3
2011.125,2.7
2011.2083,2.5
2011.2917,1.9
2011.375,0.4
2011.4583,0.2
2011.5417,1
2011.625,0.4
2011.7083,1
2011.7917,0.8
2011.875,1.1
2011.9583,2.5
2012.0417,1.1
2012.125,0.5
2012.2083,0.7
2012.2917,-0.3
2012.375,0
2012.4583,-0.4
2012.5417,0
2012.625,-0.2
2012.7083,0.2
2012.7917,0.3
2012.875,0.3
2012.9583,-0.6
2013.0417,-0.1
2013.125,-0.2
2013.2083,1.5
2013.2917,0.2
2013.375,0.8
2013.4583,1.2
2013.5417,0.8
2013.625,0.2
2013.7083,0.3
2013.7917,-0.1
2013.875,0.7
2013.9583,0.1
2014.0417,1.4
2014.125,0.1
2014.2083,-0.9
2014.2917,0.8
2014.375,0.5
2014.4583,0.2
2014.5417,-0.2
2014.625,-0.7
2014.7083,-0.7
2014.7917,-0.6
2014.875,-0.9
2014.9583,-0.6
2015.0417,-0.8
2015.125,0.2
2015.2083,-0.7
2015.2917,0
2015.375,-0.7
2015.4583,-0.6
2015.5417,-1.1
2015.625,-1.4
2015.7083,-1.6
2015.7917,-1.7
2015.875,-0.5
2015.9583,-0.6
2016.0417,-2.2
2016.125,-2
2016.2083,-0.1
2016.2917,-1.2
2016.375,0.4
2016.4583,0.6
2016.5417,0.4
2016.625,0.7
2016.7083,1.2
2016.7917,-0.3
2016.875,-0.1
2016.9583,0.3
