0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
308.5357056,-1.168112,0.023,0.059,4.0,0.534,0.0,0.067,0.067,0.0,0.0,0.0,4.0,22.427,22.439,0.069,0.024,0.0,4.0,20.842,20.858,0.021,0.064,2.1,4.0,19.704,19.702,0.013,0.022,0.6,4.0,19.05,19.038,0.025,0.056,1.3
308.5410156,-1.2034589,0.014,0.02,4.0,0.538,4.0,17.362,17.338,0.011,0.056,5.1,4.0,15.655,15.655,0.007,0.014,0.7,4.0,14.973,14.974,0.004,0.01,0.7,4.0,14.709,14.709,0.006,0.005,0.1,4.0,14.583,14.585,0.009,0.012,0.4
308.5411072,-1.1562052,0.004,0.025,4.0,0.531,4.0,17.305,17.306,0.011,0.044,2.2,4.0,15.654,15.657,0.006,0.013,0.5,4.0,14.984,14.984,0.003,0.006,0.6,4.0,14.714,14.71,0.006,0.003,0.1,4.0,14.581,14.588,0.009,0.019,1.0
308.5419006,-1.2346689,0.014,0.026,4.0,0.546,4.0,19.563,19.568,0.018,0.08,3.9,4.0,17.329,17.328,0.007,0.013,0.7,4.0,16.427,16.428,0.003,0.008,0.5,4.0,16.074,16.076,0.006,0.012,0.6,4.0,15.878,15.874,0.009,0.015,0.7
308.5444946,-1.2349589,0.011,0.023,4.0,0.543,4.0,21.917,21.961,0.099,0.174,0.6,4.0,19.485,19.498,0.009,0.027,2.5,4.0,18.265,18.264,0.005,0.005,0.2,4.0,17.668,17.664,0.007,0.022,2.3,4.0,17.272,17.272,0.011,0.007,0.1
308.5442505,-1.195086,0.017,0.013,4.0,0.534,4.0,18.82,18.824,0.014,0.043,1.6,4.0,17.427,17.425,0.007,0.015,1.0,4.0,16.797,16.798,0.004,0.008,0.5,4.0,16.543,16.542,0.006,0.005,0.1,4.0,16.418,16.42,0.01,0.007,0.1
308.5446167,-1.1976172,0.011,0.036,4.0,0.534,4.0,19.916,19.917,0.022,0.063,1.7,4.0,18.58,18.58,0.007,0.013,0.6,4.0,17.974,17.982,0.004,0.01,1.6,4.0,17.726,17.725,0.007,0.007,0.2,4.0,17.598,17.594,0.012,0.016,0.4
308.5498047,-1.2012722,0.011,0.024,4.0,0.533,4.0,17.032,17.038,0.01,0.055,3.6,4.0,15.35,15.349,0.006,0.015,0.9,4.0,14.617,14.619,0.003,0.005,0.4,4.0,14.313,14.307,0.006,0.021,2.4,4.0,14.169,14.166,0.009,0.015,0.7
308.5488892,-1.2043222,0.021,0.032,4.0,0.533,4.0,22.127,22.079,0.106,0.087,0.2,4.0,19.323,19.319,0.008,0.012,0.6,4.0,17.784,17.787,0.004,0.018,2.4,4.0,17.014,17.012,0.006,0.011,0.6,4.0,16.557,16.556,0.01,0.006,0.1
308.552887,-1.199811,0.016,0.022,4.0,0.531,4.0,21.113,21.103,0.05,0.084,0.7,4.0,19.527,19.514,0.011,0.029,2.1,4.0,18.82,18.815,0.006,0.014,1.1,4.0,18.517,18.519,0.008,0.008,0.2,4.0,18.347,18.346,0.016,0.023,0.4
308.5518494,-1.2512273,0.017,0.016,4.0,0.541,4.0,18.85,18.843,0.014,0.051,2.8,4.0,17.333,17.333,0.007,0.013,0.6,4.0,16.686,16.694,0.003,0.009,1.6,4.0,16.412,16.414,0.006,0.02,1.7,4.0,16.294,16.286,0.01,0.014,0.6
308.5580444,-1.262206,0.003,0.02,4.0,0.536,4.0,19.094,19.093,0.015,0.055,2.7,4.0,17.435,17.433,0.007,0.015,0.9,4.0,16.726,16.73,0.003,0.007,0.9,4.0,16.451,16.453,0.006,0.023,2.5,4.0,16.326,16.317,0.01,0.026,1.9
308.5621033,-1.1325638,0.002,0.016,4.0,0.52,0.0,0.056,0.056,0.0,0.0,0.0,4.0,21.133,21.131,0.023,0.01,0.0,4.0,19.919,19.918,0.011,0.029,2.0,4.0,19.456,19.456,0.012,0.019,0.7,4.0,19.212,19.215,0.029,0.09,1.7
308.5653992,-1.113636,0.011,0.023,4.0,0.51,4.0,18.067,18.057,0.016,0.052,2.5,4.0,16.477,16.482,0.013,0.025,0.8,4.0,15.825,15.812,0.013,0.025,1.2,4.0,15.554,15.557,0.014,0.016,0.3,4.0,15.447,15.446,0.015,0.01,0.1
308.5646057,-1.1135142,0.015,0.024,4.0,0.51,4.0,18.567,18.557,0.035,0.074,1.1,4.0,16.88,16.888,0.028,0.038,0.4,4.0,16.2,16.197,0.018,0.028,0.3,4.0,15.929,15.928,0.019,0.009,0.0,4.0,15.816,15.82,0.029,0.034,0.3
308.5797119,-1.0630549,0.047,0.033,4.0,0.485,3.0,22.335,22.18,0.141,0.231,1.0,4.0,21.99,21.959,0.045,0.085,1.0,4.0,20.363,20.372,0.015,0.04,1.8,4.0,19.108,19.111,0.01,0.02,0.9,4.0,18.411,18.41,0.017,0.018,0.4
308.5932922,-1.243763,0.031,0.023,4.0,0.51,4.0,20.547,20.54,0.033,0.056,0.7,4.0,18.0,17.992,0.007,0.071,2.1,4.0,16.8,16.797,0.003,0.007,0.5,4.0,16.318,16.322,0.016,0.015,0.2,4.0,16.048,16.046,0.01,0.011,0.4
308.6100159,-1.088666,0.025,0.021,4.0,0.488,4.0,19.555,19.547,0.018,0.081,5.3,4.0,17.67,17.673,0.007,0.026,2.0,4.0,16.801,16.801,0.004,0.015,2.4,4.0,16.439,16.436,0.006,0.009,0.6,4.0,16.223,16.222,0.009,0.024,1.4
